DATE,CPIAUCSL_PC1
2012/6/1,1.65387
2012/7/1,1.41751
2012/8/1,1.68593
2012/9/1,1.94972
2012/10/1,2.15568
2012/11/1,1.79602
2012/12/1,1.7595
2013/1/1,1.68406
2013/2/1,2.01814
2013/3/1,1.51875
2013/4/1,1.13881
2013/5/1,1.39039
2013/6/1,1.71579
2013/7/1,1.88547
2013/8/1,1.53881
2013/9/1,1.09473
2013/10/1,0.8768
2013/11/1,1.23287
2013/12/1,1.51284
2014/1/1,1.55776
2014/2/1,1.12047
2014/3/1,1.61269
2014/4/1,2.01513
2014/5/1,2.16695
2014/6/1,2.05898
2014/7/1,1.97424
2014/8/1,1.7151
2014/9/1,1.68405
2014/10/1,1.60954
2014/11/1,1.23152
2014/12/1,0.65312
2015/1/1,-0.22993
2015/2/1,-0.08703
2015/3/1,-0.02203
2015/4/1,-0.10403
2015/5/1,0.03503
2015/6/1,0.17957
2015/7/1,0.22569
2015/8/1,0.2413
2015/9/1,0.00884
2015/10/1,0.12762
2015/11/1,0.43632
2015/12/1,0.63872
2016/1/1,1.31205
2016/2/1,0.92291
2016/3/1,0.85348
2016/4/1,1.10616
2016/5/1,1.02911
2016/6/1,1.04647
2016/7/1,0.87256
2016/8/1,1.07632
2016/9/1,1.50317
2016/10/1,1.64386
2016/11/1,1.67047
2016/12/1,2.08234
2017/1/1,2.47659
2017/2/1,2.74258
2017/3/1,2.40808
2017/4/1,2.18687
2017/5/1,1.87354
2017/6/1,1.68024
2017/7/1,1.75627
2017/8/1,1.95723
2017/9/1,2.23049
2017/10/1,2.0398
2017/11/1,2.20668
2017/12/1,2.11568
2018/1/1,2.09218
2018/2/1,2.23212
2018/3/1,2.33546
2018/4/1,2.41705
2018/5/1,2.75247
2018/6/1,2.86552
2018/7/1,2.92803
2018/8/1,2.69095
2018/9/1,2.35996
2018/10/1,2.51734
2018/11/1,2.15459
2018/12/1,1.9391
2019/1/1,1.50071
2019/2/1,1.48552
2019/3/1,1.87721
2019/4/1,1.99474
2019/5/1,1.80618
2019/6/1,1.68249
2019/7/1,1.83114
2019/8/1,1.74232
2019/9/1,1.71727
2019/10/1,1.76124
2019/11/1,2.04305
2019/12/1,2.29208
2020/1/1,2.48268
2020/2/1,2.3181
